providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T18:59:59.000Z,2026-09-02T19:00:16.365Z,2026-09-02T19:00:16.117Z,2026-09-02T19:00:16.365Z,137,1,"{""value"":1,""timestamp"":""2026-09-02T18:59:59Z""}",,,,,,,,97
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T18:59:59.000Z,2026-09-02T19:00:22.201Z,2026-09-02T19:00:21.969Z,2026-09-02T19:00:22.201Z,142,1,"{""value"":1,""timestamp"":""2026-09-02T18:59:59Z""}",,,,,,,,102
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:28.267Z,2026-09-02T19:00:27.998Z,2026-09-02T19:00:28.267Z,173,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,113
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:34.036Z,2026-09-02T19:00:33.754Z,2026-09-02T19:00:34.036Z,178,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,118
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:39.888Z,2026-09-02T19:00:39.577Z,2026-09-02T19:00:39.888Z,183,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,123
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:45.903Z,2026-09-02T19:00:45.637Z,2026-09-02T19:00:45.903Z,188,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,128
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:51.651Z,2026-09-02T19:00:51.457Z,2026-09-02T19:00:51.651Z,193,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,133
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:57.427Z,2026-09-02T19:00:57.200Z,2026-09-02T19:00:57.427Z,198,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,138
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:04.063Z,2026-09-02T19:01:03.474Z,2026-09-02T19:01:04.063Z,229,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,149
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:10.175Z,2026-09-02T19:01:09.888Z,2026-09-02T19:01:10.175Z,234,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,154
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:16.049Z,2026-09-02T19:01:15.704Z,2026-09-02T19:01:16.049Z,239,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,159
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:21.877Z,2026-09-02T19:01:21.651Z,2026-09-02T19:01:21.877Z,244,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,164
speed,CAN_VEHICLE_SPEED,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:27.688Z,2026-09-02T19:01:27.383Z,2026-09-02T19:01:27.688Z,249,1,"{""value"":1,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,169
