providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T18:59:59.000Z,2026-09-02T19:00:10.422Z,2026-09-02T19:00:10.054Z,2026-09-02T19:00:10.422Z,128,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T18:59:59Z""}",,,,,,,,88
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T18:59:59.000Z,2026-09-02T19:00:16.365Z,2026-09-02T19:00:16.117Z,2026-09-02T19:00:16.365Z,133,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T18:59:59Z""}",,,,,,,,93
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T18:59:59.000Z,2026-09-02T19:00:22.201Z,2026-09-02T19:00:21.969Z,2026-09-02T19:00:22.201Z,138,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T18:59:59Z""}",,,,,,,,98
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:28.267Z,2026-09-02T19:00:27.998Z,2026-09-02T19:00:28.267Z,169,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,109
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:34.036Z,2026-09-02T19:00:33.754Z,2026-09-02T19:00:34.036Z,174,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,114
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:39.888Z,2026-09-02T19:00:39.577Z,2026-09-02T19:00:39.888Z,179,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,119
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:45.903Z,2026-09-02T19:00:45.637Z,2026-09-02T19:00:45.903Z,184,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,124
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:51.651Z,2026-09-02T19:00:51.457Z,2026-09-02T19:00:51.651Z,189,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,129
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:00:57.427Z,2026-09-02T19:00:57.200Z,2026-09-02T19:00:57.427Z,194,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,134
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:04.063Z,2026-09-02T19:01:03.474Z,2026-09-02T19:01:04.063Z,225,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,145
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:10.175Z,2026-09-02T19:01:09.888Z,2026-09-02T19:01:10.175Z,230,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,150
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:16.049Z,2026-09-02T19:01:15.704Z,2026-09-02T19:01:16.049Z,235,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,155
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:21.877Z,2026-09-02T19:01:21.651Z,2026-09-02T19:01:21.877Z,240,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,160
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:27.688Z,2026-09-02T19:01:27.383Z,2026-09-02T19:01:27.688Z,245,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,165
obdEngineLoad,CAN_ENGINE_LOAD,LATEST_LIVE,2026-09-02T19:00:18.000Z,2026-09-02T19:01:33.671Z,2026-09-02T19:01:33.425Z,2026-09-02T19:01:33.671Z,250,25.49019607843137,"{""value"":25.49019607843137,""timestamp"":""2026-09-02T19:00:18Z""}",,,,,,,,170
