providerField,canonicalKey,acquisitionSurface,providerTimestamp,synqReceivedAt,requestStartedAt,requestCompletedAt,sequenceNumber,numericValue,rawValueJson,physicalSampleFingerprint,requestedInterval,requestedAggregation,aggregateBucketIdentity,hfWindowFrom,hfWindowTo,hfActualQueryTo,acquisitionOrdinal
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:10:04.000Z,2026-09-02T19:10:08.197Z,2026-09-02T19:10:07.927Z,2026-09-02T19:10:08.197Z,1562,0,"{""value"":0,""timestamp"":""2026-09-02T19:10:04Z""}",,,,,,,,1183
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:10:39.000Z,2026-09-02T19:10:43.701Z,2026-09-02T19:10:43.169Z,2026-09-02T19:10:43.701Z,1693,0,"{""value"":0,""timestamp"":""2026-09-02T19:10:39Z""}",,,,,,,,1294
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:11:15.000Z,2026-09-02T19:11:19.133Z,2026-09-02T19:11:18.865Z,2026-09-02T19:11:19.133Z,1844,0,"{""value"":0,""timestamp"":""2026-09-02T19:11:15Z""}",,,,,,,,1425
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:11:51.000Z,2026-09-02T19:11:55.135Z,2026-09-02T19:11:54.807Z,2026-09-02T19:11:55.135Z,1975,0,"{""value"":0,""timestamp"":""2026-09-02T19:11:51Z""}",,,,,,,,1536
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:12:28.000Z,2026-09-02T19:12:31.472Z,2026-09-02T19:12:31.123Z,2026-09-02T19:12:31.472Z,2086,0,"{""value"":0,""timestamp"":""2026-09-02T19:12:28Z""}",,,,,,,,1627
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:13:02.000Z,2026-09-02T19:13:06.673Z,2026-09-02T19:13:06.352Z,2026-09-02T19:13:06.673Z,2197,0,"{""value"":0,""timestamp"":""2026-09-02T19:13:02Z""}",,,,,,,,1718
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:13:37.000Z,2026-09-02T19:13:41.943Z,2026-09-02T19:13:41.751Z,2026-09-02T19:13:41.943Z,2278,0,"{""value"":0,""timestamp"":""2026-09-02T19:13:37Z""}",,,,,,,,1779
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:14:12.000Z,2026-09-02T19:14:20.603Z,2026-09-02T19:14:20.303Z,2026-09-02T19:14:20.603Z,2384,0,"{""value"":0,""timestamp"":""2026-09-02T19:14:12Z""}",,,,,,,,1865
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:14:12.000Z,2026-09-02T19:14:55.641Z,2026-09-02T19:14:55.369Z,2026-09-02T19:14:55.641Z,2442,0,"{""value"":0,""timestamp"":""2026-09-02T19:14:12Z""}",,,,,,,,1903
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:14:12.000Z,2026-09-02T19:15:31.491Z,2026-09-02T19:15:31.124Z,2026-09-02T19:15:31.491Z,2498,0,"{""value"":0,""timestamp"":""2026-09-02T19:14:12Z""}",,,,,,,,1939
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:15:58.000Z,2026-09-02T19:16:06.757Z,2026-09-02T19:16:06.506Z,2026-09-02T19:16:06.757Z,2563,0,"{""value"":0,""timestamp"":""2026-09-02T19:15:58Z""}",,,,,,,,1984
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:16:37.000Z,2026-09-02T19:16:42.439Z,2026-09-02T19:16:42.215Z,2026-09-02T19:16:42.439Z,2673,0,"{""value"":0,""timestamp"":""2026-09-02T19:16:37Z""}",,,,,,,,2074
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:17:15.000Z,2026-09-02T19:17:18.910Z,2026-09-02T19:17:18.604Z,2026-09-02T19:17:18.910Z,2788,0,"{""value"":0,""timestamp"":""2026-09-02T19:17:15Z""}",,,,,,,,2169
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:17:49.000Z,2026-09-02T19:17:54.421Z,2026-09-02T19:17:54.231Z,2026-09-02T19:17:54.421Z,2924,0,"{""value"":0,""timestamp"":""2026-09-02T19:17:49Z""}",,,,,,,,2285
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:18:25.000Z,2026-09-02T19:18:29.918Z,2026-09-02T19:18:29.697Z,2026-09-02T19:18:29.918Z,3065,0,"{""value"":0,""timestamp"":""2026-09-02T19:18:25Z""}",,,,,,,,2406
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:19:01.000Z,2026-09-02T19:19:05.348Z,2026-09-02T19:19:05.144Z,2026-09-02T19:19:05.348Z,3204,0,"{""value"":0,""timestamp"":""2026-09-02T19:19:01Z""}",,,,,,,,2525
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:19:13.000Z,2026-09-02T19:19:40.632Z,2026-09-02T19:19:40.407Z,2026-09-02T19:19:40.632Z,3275,0,"{""value"":0,""timestamp"":""2026-09-02T19:19:13Z""}",,,,,,,,2576
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:19:17.000Z,2026-09-02T19:20:21.361Z,2026-09-02T19:20:21.072Z,2026-09-02T19:20:21.361Z,3331,0,"{""value"":0,""timestamp"":""2026-09-02T19:19:17Z""}",,,,,,,,2612
powertrainTransmissionActualGearRatio,CAN_TRANSMISSION_GEAR_RATIO,LATEST_SLOW,2026-09-02T19:19:17.000Z,2026-09-02T19:20:57.045Z,2026-09-02T19:20:56.798Z,2026-09-02T19:20:57.045Z,3387,0,"{""value"":0,""timestamp"":""2026-09-02T19:19:17Z""}",,,,,,,,2648
