organizationAlias,organizationStatus,usersLinkedViaMembership,membershipsTotal,membershipsActive,membershipsSuspended,membershipsRemoved,membershipsInvited,invitesOpenUnexpired,invitesExpiredPending,invitesExpiredStatus,invitesTotal,adminsActiveOrgAdminRole,privilegedCustomRoles,customRoles,systemRoles,rolesTotal,membershipsWithoutValidUser,membershipsWithInvalidRoleRef,activeMembershipsWithoutRoleLink,rolesWithoutAssignments,disabledRolesWithActiveAssignments,membershipsWithPermissionSnapshot,membershipsWithExplicitStationScope,activeMembershipsAllStationsScope,activeRefreshTokensForMemberUsers,activeRefreshFamiliesForMemberUsers,multiOrgUsersTouchingOrg,accessReviewsFound,auditEventsTotal,auditEvents90d
ORG_001,ACTIVE,1,1,1,0,0,0,0,0,0,0,1,0,0,10,10,0,0,1,10,0,0,0,1,56,56,0,0,584,500
ORG_002,ACTIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
